genome_id	genome_name	taxon_id
592010.4	Abiotrophia defectiva ATCC 49176	592010
509191.4	Acetivibrio cellulolyticus CD2	509191
1068975.5	Acetobacterium dehalogenans DSM 11527	1068975
931626.3	Acetobacterium woodii DSM 1030	931626
1009370.3	Acetonema longum DSM 6540	1009370
1278311.3	Acholeplasma axanthum ATCC 25176	1278311
1120921.3	Acidaminococcus intestini DSM 21505	1120921
1154764.4	Acidovorax citrulli ZJU1106	1154764
470.763	Acinetobacter baumannii	470
470.571	Acinetobacter baumannii 1	470
470.605	Acinetobacter baumannii 1	470
1310638.3	Acinetobacter baumannii 1437282	1310638
470.593	Acinetobacter baumannii 1999BJAB11	470
470.576	Acinetobacter baumannii 2003BJAB12	470
470.575	Acinetobacter baumannii 2004BJAB10	470
470.577	Acinetobacter baumannii 2004BJAB13	470
470.578	Acinetobacter baumannii 2004BJAB14	470
470.588	Acinetobacter baumannii 2004ZJAB5	470
470.589	Acinetobacter baumannii 2004ZJAB6	470
470.580	Acinetobacter baumannii 2005JSAB1	470
470.586	Acinetobacter baumannii 2005LNAB4	470
470.558	Acinetobacter baumannii 2011BJAB1	470
470.559	Acinetobacter baumannii 2011BJAB2	470
470.572	Acinetobacter baumannii 2011BJAB3	470
470.573	Acinetobacter baumannii 2011BJAB4	470
470.590	Acinetobacter baumannii 2011BJAB5	470
470.604	Acinetobacter baumannii 2011BJAB6	470
470.574	Acinetobacter baumannii 2011BJAB7	470
470.591	Acinetobacter baumannii 2011BJAB8	470
470.592	Acinetobacter baumannii 2011BJAB9	470
470.594	Acinetobacter baumannii 2011GDAB1	470
470.595	Acinetobacter baumannii 2011GDAB2	470
470.579	Acinetobacter baumannii 2011GDAB3	470
470.596	Acinetobacter baumannii 2011GDAB4	470
470.597	Acinetobacter baumannii 2011HNAB1	470
470.585	Acinetobacter baumannii 2011LNAB1	470
470.599	Acinetobacter baumannii 2011LNAB2	470
470.600	Acinetobacter baumannii 2011LNAB3	470
470.582	Acinetobacter baumannii 2011SDAB1	470
470.583	Acinetobacter baumannii 2011SDAB2	470
470.584	Acinetobacter baumannii 2011SDAB3	470
470.581	Acinetobacter baumannii 2011SHAB1	470
470.598	Acinetobacter baumannii 2011TJAB1	470
470.587	Acinetobacter baumannii 2011ZJAB1	470
470.601	Acinetobacter baumannii 2011ZJAB2	470
470.602	Acinetobacter baumannii 2011ZJAB3	470
470.603	Acinetobacter baumannii 2011ZJAB4	470
470.554	Acinetobacter baumannii 269	470
1310794.3	Acinetobacter baumannii 303002	1310794
470.555	Acinetobacter baumannii 341	470
470.773	Acinetobacter baumannii 6200	470
470.772	Acinetobacter baumannii 6411	470
470.570	Acinetobacter baumannii 6870155	470
470.775	Acinetobacter baumannii A1	470
470.556	Acinetobacter baumannii A144	470
470.553	Acinetobacter baumannii A33405	470
470.623	Acinetobacter baumannii ABUH16665	470
470.616	Acinetobacter baumannii ABUH222345	470
470.619	Acinetobacter baumannii ABUH222351	470
470.618	Acinetobacter baumannii ABUH304350	470
470.620	Acinetobacter baumannii ABUH304352	470
470.609	Acinetobacter baumannii ABUH319118	470
470.622	Acinetobacter baumannii ABUH404571	470
470.607	Acinetobacter baumannii ABUH42783	470
470.610	Acinetobacter baumannii ABUH433132	470
470.617	Acinetobacter baumannii ABUH463346	470
470.606	Acinetobacter baumannii ABUH4837	470
470.611	Acinetobacter baumannii ABUH497144	470
470.612	Acinetobacter baumannii ABUH504227	470
470.613	Acinetobacter baumannii ABUH504238	470
470.615	Acinetobacter baumannii ABUH518307	470
470.621	Acinetobacter baumannii ABUH524354	470
470.608	Acinetobacter baumannii ABUH60486	470
470.614	Acinetobacter baumannii ABUH80286	470
470.771	Acinetobacter baumannii AbH12O-A2	470
470.534	Acinetobacter baumannii BJ1	470
470.535	Acinetobacter baumannii BJ2	470
470.536	Acinetobacter baumannii BJ3	470
470.537	Acinetobacter baumannii BJ4	470
470.538	Acinetobacter baumannii BJ5	470
470.539	Acinetobacter baumannii BJ6	470
470.540	Acinetobacter baumannii BJ7	470
470.552	Acinetobacter baumannii BJ8	470
470.774	Acinetobacter baumannii IOMTU 433	470
470.557	Acinetobacter baumannii MAR002	470
470.567	Acinetobacter baumannii T122	470
470.568	Acinetobacter baumannii T173	470
470.562	Acinetobacter baumannii T185	470
470.563	Acinetobacter baumannii T188	470
470.569	Acinetobacter baumannii T214	470
470.564	Acinetobacter baumannii T229	470
470.533	Acinetobacter baumannii T25	470
470.565	Acinetobacter baumannii T258	470
470.566	Acinetobacter baumannii T271	470
