genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.1	BDI_0001	VBIParDis29947_0001	A6L7Y2	136	1398	+	1263	dnaA	Chromosomal replication initiator protein DnaA	FIG00000441	PLF_375288_00000440	PGF_00417881			
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.2	BDI_0002	VBIParDis29947_0002	A6L7Y3	1656	4196	+	2541		Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)	FIG00010285	PLF_375288_00001018	PGF_00048616	GO:0004748|ribonucleoside-diphosphate reductase activity	1.17.4.1|Ribonucleoside-diphosphate reductase	00230|Purine metabolism;00240|Pyrimidine metabolism;00480|Glutathione metabolism
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.3	BDI_0003	VBIParDis29947_0003	A6L7Y4	4220	6907	+	2688		4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	FIG00028461	PLF_375288_00000374	PGF_00422687	GO:0004134|4-alpha-glucanotransferase activity	2.4.1.25|4-alpha-glucanotransferase	00500|Starch and sucrose metabolism
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.4	BDI_0004	VBIParDis29947_0004	A6L7Y5	6947	7321	-	375		hypothetical protein	FIG00896515	PLF_375288_00002654	PGF_00096200			
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.5	BDI_0005	VBIParDis29947_0005	A6L7Y6	7437	7778	+	342		Dihydroneopterin aldolase (EC 4.1.2.25)	FIG00000373	PLF_375288_00002237	PGF_00423359	GO:0004150|dihydroneopterin aldolase activity	4.1.2.25|Dihydroneopterin aldolase	00790|Folate biosynthesis
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.6	BDI_0006	VBIParDis29947_0006	A6L7Y7	7856	9292	+	1437		Periplasmic [Fe] hydrogenase (EC 1.12.7.2)	FIG00126843	PLF_375288_00000888	PGF_00030905	GO:0008901|ferredoxin hydrogenase activity	1.12.7.2|Ferredoxin hydrogenase	00680|Methane metabolism
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.7	BDI_0007	VBIParDis29947_0007	A6L7Y8	9382	10545	+	1164		hypothetical protein	FIG01528742	PLF_375288_00001233	PGF_00213533			
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.8	BDI_0008	VBIParDis29947_0008	A6L7Y9	10640	11284	+	645		MarC family integral membrane protein	FIG01327324	PLF_375288_00000773	PGF_00019411			
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.9	BDI_0009	VBIParDis29947_0009	A6L7Z0	11320	11556	-	237		hypothetical protein	FIG00638284	PLF_375288_00004859	PGF_00154010			
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.10	BDI_0010	VBIParDis29947_0010	A6L7Z1	11661	12110	-	450		Beta-hexosaminidase (EC 3.2.1.52)	FIG00001088	PLF_375288_00003634	PGF_00197162	GO:0004563|beta-N-acetylhexosaminidase activity	3.2.1.52|Beta-N-acetylhexosaminidase	00513|High-mannose type N-glycan biosynthesis;00520|Amino sugar and nucleotide sugar metabolism;00531|Glycosaminoglycan degradation;00603|Glycosphingolipid biosynthesis - globo series;00604|Glycosphingolipid biosynthesis - ganglio series
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.11	BDI_0011	VBIParDis29947_0011	A6L7Z2	12460	12756	+	297		putative two-component system sensor histidine kinase	FIG01349923	PLF_375288_00004763	PGF_00298328			
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.12	BDI_0012	VBIParDis29947_0012	A6L7Z3	12833	13342	+	510		putative two-component system response regulator	FIG01124340	PLF_375288_00007316	PGF_00315652			
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.13	BDI_0013	VBIParDis29947_0013	A6L7Z4	13546	14769	+	1224		Mobile element protein	FIG01306568	PLF_375288_00003990	PGF_00022124			
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.14	BDI_0015	VBIParDis29947_0014	A6L7Z6	15265	15804	+	540		Capsular polysaccharide transcription antitermination protein, UpxY family	FIG00037943	PLF_375288_00003674	PGF_00416362			
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.15	BDI_0016	VBIParDis29947_0015	A6L7Z7	15801	16928	+	1128		Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33)	FIG01955782	PLF_375288_00000019	PGF_00065903	GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity	2.7.8.33|UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase	
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.16	BDI_0017	VBIParDis29947_0016	A6L7Z8	17241	17771	+	531		Polysaccharide export outer membrane protein	FIG01335187	PLF_375288_00001579	PGF_00034919			
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.17	BDI_0018	VBIParDis29947_0017	A6L7Z9	17907	20189	+	2283		Tyrosine-protein kinase Wzc (EC 2.7.10.2)	FIG00006955	PLF_375288_00006336	PGF_00063892		2.7.10.2|Non-specific protein-tyrosine kinase	04660|T cell receptor signaling pathway
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.18	BDI_0019	VBIParDis29947_0018	A6L800	20195	20920	+	726		Protein tyrosine phosphatase (EC 3.1.3.48)	FIG01324034	PLF_375288_00000082	PGF_00038685	GO:0004725|protein tyrosine phosphatase activity	3.1.3.48|Protein-tyrosine-phosphatase	
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.19	BDI_0021	VBIParDis29947_0019	A6L801	20921	21415	-	495		N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	FIG00001385	PLF_375288_00003863	PGF_00306077		3.5.1.28|N-acetylmuramoyl-L-alanine amidase	
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.20	BDI_0022	VBIParDis29947_0020	A6L803	21603	22076	-	474		hypothetical protein	FIG00638284	PLF_375288_00004275	PGF_00321210			
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.21	BDI_0023	VBIParDis29947_0021	A6L804	22289	22516	-	228		FIG00898886: hypothetical protein	FIG00898885	PLF_375288_00003592	PGF_00183977			
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.22	BDI_0024	VBIParDis29947_0022	A6L805	22794	23225	+	432		FIG00898247: hypothetical protein	FIG00898246	PLF_375288_00010630	PGF_00102850			
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.23	BDI_0025	VBIParDis29947_0023	A6L806	23268	24458	+	1191		UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336)	FIG00000532	PLF_375288_00000044	PGF_00063961	GO:0089714|UDP-N-acetyl-D-mannosamine dehydrogenase activity	1.1.1.336|UDP-N-acetyl-D-mannosamine dehydrogenase	00520|Amino sugar and nucleotide sugar metabolism
435591.13	Parabacteroides distasonis ATCC 8503	NC_009615	PATRIC	CDS	fig|435591.13.peg.24	BDI_0026	VBIParDis29947_0024	A6L807	24475	25449	+	975		UDP-glucose 4-epimerase (EC 5.1.3.2)	FIG00022300	PLF_375288_00002976	PGF_00064074	GO:0003978|UDP-glucose 4-epimerase activity	5.1.3.2|UDP-glucose 4-epimerase	00052|Galactose metabolism;00520|Amino sugar and nucleotide sugar metabolism
